sku,rate
4901301245496_MEG2,1.05
4901301262509_MEG2,1.05
4901301262509,1.05
4901301245496,1.05
8851818070813,1.08
8992727007450,1.08
8851818070837,1.08
8851818129719,1.08
8851818707962,1.08
8851818129702,1.08
8992727007474,1.08
8851818943841,1.08
8851818188211,1.08
8851818205772,1.08
8851818390829,1.08
8851818340534,1.08
8851818188235,1.08
4901301354570,1.08
4901301354563,1.08
4901301043207,1.08
8851818969407,1.08
541513,1.08
8851818454224,1.08
4901301043221,1.08
8992727006033,1.08
8992727006026,1.08
4901301282743,1.08
4901301282750,1.08
8851818202528P01,1.08
KAO00012S,1.08
KAO00013S,1.08
KAO00014S,1.08
KAO00015S,1.08
KAO00016S,1.08
KAO00017S,1.08
8851818202528,1.08
8851818564985,1.08
8851818105072,1.08
8851818510555,1.08
KAO00035S,1.08
KAO00036S,1.08
KAO00037S,1.08
KAO00038S,1.08
KAO00039S,1.08
8851818070837G,1.08
KAO00050G,1.08
4901301230782,1.08
4901301230812,1.08
4901301230843,1.08
4901301230881,1.08
4901301253422,1.08
4901301230591,1.08
4901301230638,1.08
4901301230676,1.08
4901301281098,1.08
4901301230782_MRI2,1.08
4901301230812_MRI2,1.08
4901301230843_MRI2,1.08
4901301230881_MRI2,1.08
4901301253422_MRI2,1.08
4901301230591_MRI2,1.08
4901301230638_MRI2,1.08
4901301230676_MRI2,1.08
4901301281098_MRI2,1.08
4901301230782_MRI3,1.08
4901301230812_MRI3,1.08
4901301230843_MRI3,1.08
4901301230881_MRI3,1.08
4901301253422_MRI3,1.08
4901301230591_MRI3,1.08
4901301230638_MRI3,1.08
4901301230676_MRI3,1.08
4901301281098_MRI3,1.08
4901301230782_MRI4,1.08
4901301230812_MRI4,1.08
4901301230843_MRI4,1.08
4901301230881_MRI4,1.08
4901301253422_MRI4,1.08
4901301230591_MRI4,1.08
4901301230638_MRI4,1.08
4901301230676_MRI4,1.08
4901301281098_MRI4,1.08
4901301230782_MRI5,1.08
4901301230812_MRI5,1.08
4901301230843_MRI5,1.08
4901301230881_MRI5,1.08
4901301253422_MRI5,1.08
4901301230591_MRI5,1.08
4901301230638_MRI5,1.08
4901301230676_MRI5,1.08
4901301281098_MRI5,1.08
4901301259721,1.08
4901301259738,1.08
4901301281104,1.08
4901301230867,1.08
4901301230904,1.08
MER00003S,1.08
MER00004S,1.08
MER00005S,1.08
MER00001S,1.08
MER00002S,1.08
4901301388018,1.08
4901301388025,1.08
4901301388032,1.08
4901301396549,1.08
4901301396556,1.08
4901301396563,1.08
14901301403688,1.08
14901301403695,1.08
14901301403701,1.08
14901301402391,1.08
14901301402407,1.08
14901301402414,1.08
14901301402421,1.08
4901301424624,1.08
4901301424631,1.08
14901301424652,1.08
14901301424669,1.08
14901301424676,1.08
MERGIFT3,1.08
MRC00001S,1.08
8934712701028,1.08
8934712701004,1.08
8934712701189,1.08
8934712700205,1.08
8934712700212,1.08
8934712701462,1.08
8934712701479,1.08
8934712701004x4,1.08
8934712701004-V00,1.08
8934712701103V04,1.08
8934712701028-V00,1.08
8934712701103V03,1.08
8934712701004V01,1.08
8935136863392-V00,1.08
8934712701004-V02,1.08
8934712701004-V01,1.08
8934712711218_TP_001,1.08
8934712701004-V03,1.08
8934712700939V01,1.08
8934712700946V01,1.08
8934712700960V01,1.08
8934712700953V01,1.08
8934712007021V01,1.08
8934712700984V01,1.08
8934712211060V01,1.08
8934712701462V01,1.08
8934712701479V01,1.08
8934712701462V02,1.08
8934712701462V03,1.08
8934712701479V02,1.08
8934712701462V04,1.08
8934712701462V05,1.08
8934677000341,1.08
8934677000372,1.08
8934677000334,1.08
8934677000457,1.08
8934677020219,1.08
8934677000358,1.08
8934677013112,1.08
8934677013419,1.08
8934677020318,1.08
8934677013310,1.08
8934677013211,1.08
8934677020929,1.08
8934677020820,1.08
8934677014515,1.08
8934677034117,1.08
8934677042112,1.08
8934677056119,1.08
8934677026129,1.08
8852008300154,1.08
8852008300116,1.08
8852008300130,1.08
8852008304848,1.08
8852008304879,1.08
8852008510010,1.08
8852008510492,1.08
8852008511239,1.08
8852008510225,1.08
8990333822900,1.08
8934677001348,1.08
8934677001355,1.08
8934677013129,1.08
8934677013426,1.08
8934677020325,1.08
8852008510027,1.08
8852008510508,1.08
8852008511246,1.08
8934677042129,1.08
8934677001379,1.08
8934677001331,1.08
8934677001454,1.08
8934677020226,1.08
8934677034124,1.08
8852008300017,1.08
8852008300048,1.08
8852008304855,1.08
8852008304886,1.08
8934677013327,1.08
8934677013228,1.08
8934677050216,1.08
8934677050315,1.08
8934677050414,1.08
8934677029120,1.08
8934677025214,1.08
8934677035114,1.08
8934677035121,1.08
8852008510010P04,1.08
8852008300116P04,1.08
8934677042112P02,1.08
8852008511239P01,1.08
8852008510010P02,1.08
8852008510492P01,1.08
8934677042112P01,1.08
8935341300422,1.08
8935341300323,1.08
8935341300224,1.08
8935341300125,1.08
8934839124991,1.08
8934839118709,1.08
8934839119676,1.08
8934839123062,1.08
8934839123048,1.08
8934839123055,1.08
8934839120504,1.08
8934839123444,1.08
8934839123437,1.08
8934839122591,1.08
8934839123710,1.08
8934839123727,1.08
8934839123475,1.08
8934839123468,1.08
8934839122607,1.08
8934839123215,1.08
8934839123574,1.08
8934839125905,1.08
8934839125837,1.08
8934839126674,1.08
PS026658,1.08
8934839126667,1.08
8934839124991X3,1.08
8934839125837X3,1.08
8934839126209,1.08
8934839127442,1.08
8934839127411,1.08
8934839127435,1.08
8934839127398,1.08
8934839127961,1.08
8934839128463,1.08
8934839127954,1.08
8934839128470,1.08
8934839128449,1.08
8934839128418,1.08
8934839128432,1.08
8934839127978,1.08
8934839127909,1.08
8934839128456,1.08
8934839129576,1.08
8934839129217,1.08
8934839125905_PSU2_0405,1.08
8934839122607_PSU3_0600,1.08
8934839122607_PSU1_0605,1.08
8934839126117_PSU1_0630,1.08
8934839125837_PSU3_0631,1.08
8934839125905_PSU3_0904,1.08
8934839127442_PSU1_1011,1.08
8934839127435_PSU1_1012,1.08
8934839127411_PSU1_1013,1.08
8934839127411_PSU1_1091,1.08
8934839127442_PSU1_1217,1.08
8934839127435_PSU1_1218,1.08
8934839127411_PSU1_1219,1.08
8934707012078,1.08
8934707012085,1.08
8934707012092,1.08
8934707011972,1.08
8934707011514,1.08
8934707011040,1.08
8934707010456,1.08
8934707011729,1.08
8934707011736,1.08
8934707010487,1.08
8934707010500,1.08
8934707010944,1.08
8934707010968,1.08
8934707010982,1.08
8934707011644,1.08
8934707011002,1.08
8934707011026,1.08
8851932380393,1.08
8851932380409,1.08
4800888609540,1.08
4800888609526,1.08
8999999520991,1.08
8999999520984,1.08
8999999520960,1.08
8999999520977,1.08
8934868133735,1.08
8934868134138,1.08
8934868133742,1.08
8999999057442,1.08
8999999057480,1.08
8999999057459,1.08
8934707009269,1.08
8934868132035,1.08
8934868135647,1.08
8934868135654,1.08
8934868136477,1.08
8934707027638,1.08
8934707027621,1.08
8934707027706,1.08
8934707027614,1.08
8934707027690,1.08
8934707027867,1.08
8934707027478,1.08
8934707012122,1.08
8934707027874,1.08
8934707027898,1.08
8934707027881,1.08
8934707027737,1.08
8934707028550,1.08
