Transaction Date,Fee Name,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,Order No.,Order Item No.,Paid Quantity
2026-05-07,Item Price Credit,Demo product 1A,DEMO-SKU-001,LZD-0001-A,311000,23037,LZ000001,LZ000001-A,1
2026-05-07,Item Price Credit,Demo product 1B,DEMO-SKU-002,LZD-0001-B,301000,22296,LZ000001,LZ000001-B,1
2026-05-07,Commission,,,,-15000,0,LZ000001,,
2026-05-23,Item Price Credit,Demo product 2A,DEMO-SKU-002,LZD-0002-A,160000,11851,LZ000002,LZ000002-A,1
2026-05-23,Item Price Credit,Demo product 2B,DEMO-SKU-003,LZD-0002-B,138000,10222,LZ000002,LZ000002-B,1
2026-05-23,Commission,,,,-19000,0,LZ000002,,
2026-05-23,Item Price Credit,Demo product 3A,DEMO-SKU-003,LZD-0003-A,173000,12814,LZ000003,LZ000003-A,1
2026-05-23,Item Price Credit,Demo product 3B,DEMO-SKU-004,LZD-0003-B,279000,20666,LZ000003,LZ000003-B,1
2026-05-23,Commission,,,,-19000,0,LZ000003,,
2026-05-05,Item Price Credit,Demo product 4A,DEMO-SKU-004,LZD-0004-A,84000,6222,LZ000004,LZ000004-A,1
2026-05-05,Item Price Credit,Demo product 4B,DEMO-SKU-005,LZD-0004-B,289000,21407,LZ000004,LZ000004-B,1
2026-05-05,Commission,,,,-16000,0,LZ000004,,
2026-05-08,Item Price Credit,Demo product 5A,DEMO-SKU-005,LZD-0005-A,277000,20518,LZ000005,LZ000005-A,1
2026-05-08,Item Price Credit,Demo product 5B,DEMO-SKU-006,LZD-0005-B,192000,14222,LZ000005,LZ000005-B,1
2026-05-08,Commission,,,,-4000,0,LZ000005,,
2026-05-02,Item Price Credit,Demo product 6A,DEMO-SKU-006,LZD-0006-A,189000,14000,LZ000006,LZ000006-A,1
2026-05-02,Item Price Credit,Demo product 6B,DEMO-SKU-007,LZD-0006-B,65000,4814,LZ000006,LZ000006-B,1
2026-05-02,Commission,,,,-14000,0,LZ000006,,
2026-05-23,Item Price Credit,Demo product 7A,DEMO-SKU-007,LZD-0007-A,285000,21111,LZ000007,LZ000007-A,1
2026-05-23,Item Price Credit,Demo product 7B,DEMO-SKU-008,LZD-0007-B,279000,20666,LZ000007,LZ000007-B,1
2026-05-23,Commission,,,,-19000,0,LZ000007,,
2026-05-08,Item Price Credit,Demo product 8A,DEMO-SKU-008,LZD-0008-A,324000,24000,LZ000008,LZ000008-A,1
2026-05-08,Item Price Credit,Demo product 8B,DEMO-SKU-009,LZD-0008-B,99000,7333,LZ000008,LZ000008-B,1
2026-05-08,Commission,,,,-16000,0,LZ000008,,
2026-05-06,Item Price Credit,Demo product 9A,DEMO-SKU-009,LZD-0009-A,138000,10222,LZ000009,LZ000009-A,1
