Transaction Date,Fee Name,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,Order No.,Order Item No.,Paid Quantity
2026-05-13,Item Price Credit,Demo product 1A,DEMO-SKU-001,LZD-0001-A,144000,10666,LZ100001,LZ100001-A,1
2026-05-13,Item Price Credit,Demo product 1B,DEMO-SKU-002,LZD-0001-B,298000,22074,LZ100001,LZ100001-B,1
2026-05-13,Commission,,,,-9000,0,LZ100001,,
2026-05-06,Item Price Credit,Demo product 2A,DEMO-SKU-002,LZD-0002-A,145000,10740,LZ100002,LZ100002-A,1
2026-05-06,Item Price Credit,Demo product 2B,DEMO-SKU-003,LZD-0002-B,268000,19851,LZ100002,LZ100002-B,1
2026-05-06,Commission,,,,-2000,0,LZ100002,,
2026-05-22,Item Price Credit,Demo product 3A,DEMO-SKU-003,LZD-0003-A,317000,23481,LZ100003,LZ100003-A,1
2026-05-22,Item Price Credit,Demo product 3B,DEMO-SKU-004,LZD-0003-B,75000,5555,LZ100003,LZ100003-B,1
2026-05-22,Commission,,,,-19000,0,LZ100003,,
2026-05-18,Item Price Credit,Demo product 4A,DEMO-SKU-004,LZD-0004-A,72000,5333,LZ100004,LZ100004-A,1
2026-05-18,Item Price Credit,Demo product 4B,DEMO-SKU-005,LZD-0004-B,287000,21259,LZ100004,LZ100004-B,1
2026-05-18,Commission,,,,-3000,0,LZ100004,,
2026-05-24,Item Price Credit,Demo product 5A,DEMO-SKU-005,LZD-0005-A,103000,7629,LZ100005,LZ100005-A,1
2026-05-24,Item Price Credit,Demo product 5B,DEMO-SKU-006,LZD-0005-B,232000,17185,LZ100005,LZ100005-B,1
2026-05-24,Commission,,,,-6000,0,LZ100005,,
2026-05-04,Item Price Credit,Demo product 6A,DEMO-SKU-006,LZD-0006-A,258000,19111,LZ100006,LZ100006-A,1
2026-05-04,Item Price Credit,Demo product 6B,DEMO-SKU-007,LZD-0006-B,154000,11407,LZ100006,LZ100006-B,1
2026-05-04,Commission,,,,-9000,0,LZ100006,,
2026-05-23,Item Price Credit,Demo product 7A,DEMO-SKU-007,LZD-0007-A,225000,16666,LZ100007,LZ100007-A,1
2026-05-23,Item Price Credit,Demo product 7B,DEMO-SKU-008,LZD-0007-B,313000,23185,LZ100007,LZ100007-B,1
2026-05-23,Commission,,,,-16000,0,LZ100007,,
2026-05-05,Item Price Credit,Demo product 8A,DEMO-SKU-008,LZD-0008-A,234000,17333,LZ100008,LZ100008-A,1
2026-05-05,Item Price Credit,Demo product 8B,DEMO-SKU-009,LZD-0008-B,81000,6000,LZ100008,LZ100008-B,1
2026-05-05,Commission,,,,-11000,0,LZ100008,,
2026-05-02,Item Price Credit,Demo product 9A,DEMO-SKU-009,LZD-0009-A,277000,20518,LZ100009,LZ100009-A,1
2026-05-02,Item Price Credit,Demo product 9B,DEMO-SKU-010,LZD-0009-B,252000,18666,LZ100009,LZ100009-B,1
2026-05-02,Commission,,,,-9000,0,LZ100009,,
2026-05-04,Item Price Credit,Demo product 10A,DEMO-SKU-010,LZD-0010-A,274000,20296,LZ100010,LZ100010-A,1
2026-05-04,Item Price Credit,Demo product 10B,DEMO-SKU-011,LZD-0010-B,333000,24666,LZ100010,LZ100010-B,1
2026-05-04,Commission,,,,-8000,0,LZ100010,,
2026-05-25,Item Price Credit,Demo product 11A,DEMO-SKU-011,LZD-0011-A,191000,14148,LZ100011,LZ100011-A,1
2026-05-25,Item Price Credit,Demo product 11B,DEMO-SKU-000,LZD-0011-B,155000,11481,LZ100011,LZ100011-B,1
2026-05-25,Commission,,,,-17000,0,LZ100011,,
2026-05-15,Item Price Credit,Demo product 0A,DEMO-SKU-000,LZD-0012-A,128000,9481,LZ100012,LZ100012-A,1
2026-05-15,Item Price Credit,Demo product 0B,DEMO-SKU-001,LZD-0012-B,123000,9111,LZ100012,LZ100012-B,1
2026-05-15,Commission,,,,-4000,0,LZ100012,,
2026-05-25,Item Price Credit,Demo product 1A,DEMO-SKU-001,LZD-0013-A,147000,10888,LZ100013,LZ100013-A,1
2026-05-25,Item Price Credit,Demo product 1B,DEMO-SKU-002,LZD-0013-B,168000,12444,LZ100013,LZ100013-B,1
2026-05-25,Commission,,,,-18000,0,LZ100013,,
2026-05-05,Item Price Credit,Demo product 2A,DEMO-SKU-002,LZD-0014-A,107000,7925,LZ100014,LZ100014-A,1
2026-05-05,Item Price Credit,Demo product 2B,DEMO-SKU-003,LZD-0014-B,307000,22740,LZ100014,LZ100014-B,1
2026-05-05,Commission,,,,-18000,0,LZ100014,,
2026-05-17,Item Price Credit,Demo product 3A,DEMO-SKU-003,LZD-0015-A,137000,10148,LZ100015,LZ100015-A,1
2026-05-17,Item Price Credit,Demo product 3B,DEMO-SKU-004,LZD-0015-B,197000,14592,LZ100015,LZ100015-B,1
2026-05-17,Commission,,,,-4000,0,LZ100015,,
2026-05-19,Item Price Credit,Demo product 4A,DEMO-SKU-004,LZD-0016-A,337000,24962,LZ100016,LZ100016-A,1
2026-05-19,Item Price Credit,Demo product 4B,DEMO-SKU-005,LZD-0016-B,101000,7481,LZ100016,LZ100016-B,1
2026-05-19,Commission,,,,-18000,0,LZ100016,,
2026-05-23,Item Price Credit,Demo product 5A,DEMO-SKU-005,LZD-0017-A,201000,14888,LZ100017,LZ100017-A,1
2026-05-23,Item Price Credit,Demo product 5B,DEMO-SKU-006,LZD-0017-B,308000,22814,LZ100017,LZ100017-B,1
2026-05-23,Commission,,,,-12000,0,LZ100017,,
2026-05-11,Item Price Credit,Demo product 6A,DEMO-SKU-006,LZD-0018-A,79000,5851,LZ100018,LZ100018-A,1
