

Mã đơn hàng,Đơn hàng / Sản phẩm,Ngày đặt hàng,Ngày hoàn thành thanh toán,Tổng tiền đã thanh toán,Giá sản phẩm,Số tiền hoàn lại,Mã ưu đãi Đồng Tài Trợ do Người Bán chịu,Sản phẩm được trợ giá từ Shopee,Mã ưu đãi do Người Bán chịu,Mã hoàn xu do Người Bán chịu,Phí vận chuyển - Người bán hỗ trợ
SP000031,Sku,2026-05-06 00:00,2026-05-09 00:00,0,252000,0,0,0,2520,0,-
SP000032,Order,2026-05-01 00:00,2026-05-03 00:00,445095,452160,0,0,0,4710,2355,-
SP000033,Order,2026-05-05 00:00,2026-05-08 00:00,524400,529920,0,0,0,5520,0,-
SP000034,Order,2026-05-07 00:00,2026-05-11 00:00,400950,405000,0,0,0,4050,0,-
SP000035,Order,2026-05-05 00:00,2026-05-09 00:00,250040,255360,0,5320,0,0,0,-
SP000036,Order,2026-04-30 00:00,2026-05-04 00:00,788100,792360,0,0,25560,0,4260,-
SP000036,Sku,2026-04-30 00:00,2026-05-04 00:00,0,792360,0,0,25560,0,4260,-
SP000037,Order,2026-05-08 00:00,2026-05-11 00:00,131100,138000,0,2760,0,1380,0,2760
SP000037,Sku,2026-05-08 00:00,2026-05-11 00:00,0,138000,0,2760,0,1380,0,2760
SP000038,Order,2026-05-03 00:00,2026-05-06 00:00,715950,743040,0,0,0,7740,3870,15480
SP000039,Order,2026-05-04 00:00,2026-05-08 00:00,224640,234000,0,4680,0,0,0,4680
SP000040,Order,2026-05-06 00:00,2026-05-09 00:00,283500,291000,0,0,9000,0,1500,6000
SP000040,Sku,2026-05-06 00:00,2026-05-09 00:00,0,291000,0,0,9000,0,1500,6000
SP000041,Order,2026-05-01 00:00,2026-05-04 00:00,50875,53350,0,1100,1650,0,275,1100
SP000041,Sku,2026-05-01 00:00,2026-05-04 00:00,0,53350,0,1100,1650,0,275,1100
SP000042,Order,2026-04-23 00:00,2026-04-24 00:00,113430,114000,0,0,0,0,570,-
SP000042,Sku,2026-04-23 00:00,2026-04-24 00:00,0,114000,0,0,0,0,570,-
SP000043,Order,2026-05-04 00:00,2026-05-08 00:00,469950,482000,0,0,0,0,2410,9640
SP000044,Order,2026-05-08 00:00,2026-05-10 00:00,280120,289060,0,5960,8940,2980,0,-
SP000044,Sku,2026-05-08 00:00,2026-05-10 00:00,0,289060,0,5960,8940,2980,0,-
SP000045,Order,2026-05-03 00:00,2026-05-06 00:00,809100,843900,0,17400,26100,0,0,17400
SP000046,Order,2026-04-29 00:00,2026-04-30 00:00,576105,579090,0,0,17910,0,2985,-
SP000047,Order,2026-05-05 00:00,2026-05-07 00:00,67160,67890,0,0,2190,730,0,-
SP000047,Sku,2026-05-05 00:00,2026-05-07 00:00,0,67890,0,0,2190,730,0,-
SP000048,Order,2026-05-02 00:00,2026-05-05 00:00,154230,159000,0,3180,0,1590,0,-
SP000048,Sku,2026-05-02 00:00,2026-05-05 00:00,0,159000,0,3180,0,1590,0,-
SP000049,Order,2026-05-02 00:00,2026-05-04 00:00,127840,131920,0,0,4080,1360,0,2720
SP000049,Sku,2026-05-02 00:00,2026-05-04 00:00,0,131920,0,0,4080,1360,0,2720
SP000050,Order,2026-05-05 00:00,2026-05-06 00:00,138380,143560,0,0,4440,1480,740,2960
SP000051,Order,2026-05-01 00:00,2026-05-04 00:00,549780,561000,0,0,0,0,0,11220
SP000051,Sku,2026-05-01 00:00,2026-05-04 00:00,0,561000,0,0,0,0,0,11220
SP000052,Order,2026-05-05 00:00,2026-05-07 00:00,239400,241920,0,0,0,2520,0,-
SP000053,Order,2026-05-01 00:00,2026-05-05 00:00,230490,234000,0,0,0,2340,1170,-
SP000054,Order,2026-04-30 00:00,2026-05-02 00:00,393460,395520,0,0,0,0,2060,-
SP000055,Order,2026-05-05 00:00,2026-05-06 00:00,360640,368000,0,7360,0,0,0,-
SP000056,Order,2026-05-02 00:00,2026-05-04 00:00,752940,776970,0,16020,24030,8010,0,-
SP000057,Order,2026-05-05 00:00,2026-05-09 00:00,109190,113460,0,0,3660,1220,610,2440
SP000058,Order,2026-05-05 00:00,2026-05-08 00:00,115840,122880,0,2560,0,1280,640,2560
SP000059,Order,2026-04-29 00:00,2026-05-03 00:00,159310,165540,0,3560,5340,1780,890,-
SP000060,Order,2026-04-23 00:00,2026-04-27 00:00,263340,266000,0,0,0,2660,0,-
