

Mã đơn hàng,Đơn hàng / Sản phẩm,Ngày đặt hàng,Ngày hoàn thành thanh toán,Tổng tiền đã thanh toán,Giá sản phẩm,Số tiền hoàn lại,Mã ưu đãi Đồng Tài Trợ do Người Bán chịu,Sản phẩm được trợ giá từ Shopee,Mã ưu đãi do Người Bán chịu,Mã hoàn xu do Người Bán chịu,Phí vận chuyển - Người bán hỗ trợ
SP000001,Order,2026-04-28 00:00,2026-04-30 00:00,289500,300000,0,6000,0,3000,1500,-
SP000002,Order,2026-05-03 00:00,2026-05-07 00:00,521430,524160,0,0,0,0,2730,-
SP000002,Sku,2026-05-03 00:00,2026-05-07 00:00,0,524160,0,0,0,0,2730,-
SP000003,Order,2026-05-04 00:00,2026-05-07 00:00,-56025,717120,747000,14940,0,7470,3735,-
SP000004,Order,2026-05-08 00:00,2026-05-11 00:00,53580,55290,0,0,1710,570,0,1140
SP000005,Order,2026-05-03 00:00,2026-05-05 00:00,401760,414720,0,0,0,4320,0,8640
SP000006,Order,2026-05-03 00:00,2026-05-07 00:00,193640,199820,0,0,6180,2060,0,4120
SP000007,Order,2026-05-04 00:00,2026-05-07 00:00,381045,387030,0,0,11970,3990,1995,-
SP000008,Order,2026-04-26 00:00,2026-04-28 00:00,95550,98000,0,0,0,0,490,1960
SP000009,Order,2026-05-08 00:00,2026-05-10 00:00,669300,690000,0,0,0,6900,0,13800
SP000009,Sku,2026-05-08 00:00,2026-05-10 00:00,0,690000,0,0,0,6900,0,13800
SP000010,Order,2026-05-04 00:00,2026-05-08 00:00,134900,137740,0,0,4260,0,0,2840
SP000011,Order,2026-05-01 00:00,2026-05-02 00:00,50760,52380,0,0,1620,540,0,1080
SP000012,Order,2026-05-06 00:00,2026-05-09 00:00,806310,832320,0,17340,0,8670,0,-
SP000013,Order,2026-05-02 00:00,2026-05-06 00:00,273130,286000,0,5720,0,0,1430,5720
SP000014,Order,2026-05-05 00:00,2026-05-09 00:00,214875,225000,0,4500,0,0,1125,4500
SP000015,Order,2026-05-07 00:00,2026-05-09 00:00,587820,587820,0,0,18180,0,0,-
SP000015,Sku,2026-05-07 00:00,2026-05-09 00:00,0,587820,0,0,18180,0,0,-
SP000016,Order,2026-05-02 00:00,2026-05-04 00:00,687600,698400,0,0,21600,7200,3600,-
SP000017,Order,2026-04-21 00:00,2026-04-24 00:00,586040,598000,0,0,0,0,0,11960
SP000017,Sku,2026-04-21 00:00,2026-04-24 00:00,0,598000,0,0,0,0,0,11960
SP000018,Order,2026-05-06 00:00,2026-05-08 00:00,201825,207000,0,4140,0,0,1035,-
SP000019,Order,2026-05-02 00:00,2026-05-04 00:00,235620,241920,0,0,0,0,1260,5040
SP000019,Sku,2026-05-02 00:00,2026-05-04 00:00,0,241920,0,0,0,0,1260,5040
SP000020,Order,2026-04-29 00:00,2026-05-02 00:00,-10080,252000,252000,5040,0,0,0,5040
SP000021,Order,2026-05-06 00:00,2026-05-09 00:00,416880,419040,0,0,12960,0,2160,-
SP000022,Order,2026-05-04 00:00,2026-05-05 00:00,285250,303180,0,6520,9780,3260,1630,6520
SP000022,Sku,2026-05-04 00:00,2026-05-05 00:00,0,303180,0,6520,9780,3260,1630,6520
SP000023,Order,2026-04-30 00:00,2026-05-02 00:00,176000,186000,0,4000,6000,2000,0,4000
SP000024,Order,2026-05-04 00:00,2026-05-05 00:00,-43470,596160,621000,0,0,6210,0,12420
SP000024,Sku,2026-05-04 00:00,2026-05-05 00:00,0,596160,621000,0,0,6210,0,12420
SP000025,Order,2026-05-04 00:00,2026-05-07 00:00,95535,99000,0,1980,0,990,495,-
SP000026,Order,2026-05-03 00:00,2026-05-06 00:00,256620,262080,0,0,0,0,0,5460
SP000027,Order,2026-05-10 00:00,2026-05-11 00:00,122760,128040,0,2640,3960,0,0,2640
SP000028,Order,2026-05-05 00:00,2026-05-07 00:00,426360,442320,0,0,13680,4560,2280,9120
SP000029,Order,2026-04-28 00:00,2026-04-29 00:00,-13050,281300,290000,0,8700,2900,1450,-
SP000029,Sku,2026-04-28 00:00,2026-04-29 00:00,0,281300,290000,0,8700,2900,1450,-
SP000030,Order,2026-05-07 00:00,2026-05-09 00:00,833760,864000,0,17280,0,8640,4320,-
SP000030,Sku,2026-05-07 00:00,2026-05-09 00:00,0,864000,0,17280,0,8640,4320,-
SP000031,Order,2026-05-06 00:00,2026-05-09 00:00,249480,252000,0,0,0,2520,0,-
