

Mã đơn hàng,Đơn hàng / Sản phẩm,Ngày đặt hàng,Ngày hoàn thành thanh toán,Tổng tiền đã thanh toán,Giá sản phẩm,Số tiền hoàn lại,Mã ưu đãi Đồng Tài Trợ do Người Bán chịu,Sản phẩm được trợ giá từ Shopee,Mã ưu đãi do Người Bán chịu,Mã hoàn xu do Người Bán chịu,Phí vận chuyển - Người bán hỗ trợ
SP100032,Order,2026-04-29 00:00,2026-05-03 00:00,606300,625650,0,0,19350,6450,0,12900
SP100033,Order,2026-05-05 00:00,2026-05-07 00:00,433200,437760,0,0,0,4560,0,-
SP100033,Sku,2026-05-05 00:00,2026-05-07 00:00,0,437760,0,0,0,4560,0,-
SP100034,Order,2026-04-25 00:00,2026-04-26 00:00,478400,483600,0,0,15600,5200,0,-
SP100035,Order,2026-04-27 00:00,2026-04-30 00:00,591030,597000,0,0,0,5970,0,-
SP100036,Order,2026-05-02 00:00,2026-05-06 00:00,494130,507780,0,0,16380,0,2730,10920
SP100036,Sku,2026-05-02 00:00,2026-05-06 00:00,0,507780,0,0,16380,0,2730,10920
SP100037,Order,2026-05-02 00:00,2026-05-05 00:00,296100,305550,0,6300,9450,3150,0,-
SP100037,Sku,2026-05-02 00:00,2026-05-05 00:00,0,305550,0,6300,9450,3150,0,-
SP100038,Order,2026-05-07 00:00,2026-05-08 00:00,131760,133920,0,0,4320,1440,720,-
SP100038,Sku,2026-05-07 00:00,2026-05-08 00:00,0,133920,0,0,4320,1440,720,-
SP100039,Order,2026-05-02 00:00,2026-05-06 00:00,125580,132480,0,2760,0,1380,0,2760
SP100040,Order,2026-05-04 00:00,2026-05-07 00:00,43120,44000,0,880,0,0,0,-
SP100041,Order,2026-05-02 00:00,2026-05-03 00:00,91000,96720,0,2080,3120,1040,520,2080
SP100041,Sku,2026-05-02 00:00,2026-05-03 00:00,0,96720,0,2080,3120,1040,520,2080
SP100042,Order,2026-04-22 00:00,2026-04-26 00:00,277920,279360,0,0,8640,0,1440,-
SP100043,Order,2026-05-03 00:00,2026-05-07 00:00,320320,337920,0,7040,0,3520,0,7040
SP100043,Sku,2026-05-03 00:00,2026-05-07 00:00,0,337920,0,7040,0,3520,0,7040
SP100044,Order,2026-05-07 00:00,2026-05-10 00:00,-3150,630000,630000,0,0,0,3150,-
SP100045,Order,2026-04-23 00:00,2026-04-25 00:00,188175,189150,0,0,5850,0,975,-
SP100046,Order,2026-04-27 00:00,2026-04-30 00:00,464640,491040,0,10560,15840,5280,0,10560
SP100047,Order,2026-04-30 00:00,2026-05-02 00:00,490200,500520,0,0,15480,0,0,10320
SP100048,Order,2026-05-07 00:00,2026-05-11 00:00,257040,272000,0,5440,0,2720,1360,5440
SP100048,Sku,2026-05-07 00:00,2026-05-11 00:00,0,272000,0,5440,0,2720,1360,5440
SP100049,Order,2026-04-28 00:00,2026-05-02 00:00,209250,218250,0,4500,6750,0,0,4500
SP100050,Order,2026-05-04 00:00,2026-05-06 00:00,431300,440380,0,9080,13620,0,0,-
SP100050,Sku,2026-05-04 00:00,2026-05-06 00:00,0,440380,0,9080,13620,0,0,-
SP100051,Order,2026-05-07 00:00,2026-05-08 00:00,599040,605280,0,0,18720,6240,0,-
SP100052,Order,2026-04-23 00:00,2026-04-27 00:00,408900,417600,0,8700,0,0,0,-
SP100053,Order,2026-05-08 00:00,2026-05-09 00:00,160190,161020,0,0,4980,0,830,-
SP100054,Order,2026-04-22 00:00,2026-04-25 00:00,751800,781200,0,0,25200,8400,4200,16800
SP100055,Order,2026-05-01 00:00,2026-05-02 00:00,90500,93000,0,0,3000,0,500,2000
SP100056,Order,2026-05-04 00:00,2026-05-05 00:00,250250,265980,0,5720,8580,2860,1430,5720
SP100056,Sku,2026-05-04 00:00,2026-05-05 00:00,0,265980,0,5720,8580,2860,1430,5720
SP100057,Order,2026-04-29 00:00,2026-05-03 00:00,283880,292940,0,0,9060,3020,0,6040
SP100057,Sku,2026-04-29 00:00,2026-05-03 00:00,0,292940,0,0,9060,3020,0,6040
SP100058,Order,2026-05-02 00:00,2026-05-04 00:00,327600,336000,0,6720,0,0,1680,-
SP100059,Order,2026-05-07 00:00,2026-05-08 00:00,218250,225000,0,0,0,2250,0,4500
SP100060,Order,2026-05-10 00:00,2026-05-11 00:00,218080,225040,0,4640,6960,2320,0,-
SP100060,Sku,2026-05-10 00:00,2026-05-11 00:00,0,225040,0,4640,6960,2320,0,-
