

Mã đơn hàng,Đơn hàng / Sản phẩm,Ngày đặt hàng,Ngày hoàn thành thanh toán,Tổng tiền đã thanh toán,Giá sản phẩm,Số tiền hoàn lại,Mã ưu đãi Đồng Tài Trợ do Người Bán chịu,Sản phẩm được trợ giá từ Shopee,Mã ưu đãi do Người Bán chịu,Mã hoàn xu do Người Bán chịu,Phí vận chuyển - Người bán hỗ trợ
SP100001,Order,2026-04-23 00:00,2026-04-27 00:00,409840,418560,0,0,0,0,0,8720
SP100002,Order,2026-05-02 00:00,2026-05-06 00:00,188940,192960,0,4020,0,0,0,-
SP100003,Order,2026-05-01 00:00,2026-05-02 00:00,512380,526080,0,10960,0,0,2740,-
SP100004,Order,2026-05-01 00:00,2026-05-04 00:00,611820,618000,0,0,0,6180,0,-
SP100005,Order,2026-04-30 00:00,2026-05-02 00:00,201985,203000,0,0,0,0,1015,-
SP100006,Order,2026-05-02 00:00,2026-05-06 00:00,206790,219220,0,4520,6780,2260,1130,4520
SP100007,Order,2026-04-21 00:00,2026-04-25 00:00,99110,101760,0,0,0,0,530,2120
SP100007,Sku,2026-04-21 00:00,2026-04-25 00:00,0,101760,0,0,0,0,530,2120
SP100008,Order,2026-05-08 00:00,2026-05-11 00:00,763200,795000,0,15900,0,0,0,15900
SP100009,Order,2026-05-01 00:00,2026-05-04 00:00,629640,636000,0,0,0,6360,0,-
SP100009,Sku,2026-05-01 00:00,2026-05-04 00:00,0,636000,0,0,0,6360,0,-
SP100010,Order,2026-05-08 00:00,2026-05-11 00:00,73150,74690,0,1540,2310,0,0,-
SP100011,Order,2026-05-10 00:00,2026-05-11 00:00,185250,189150,0,0,5850,0,0,3900
SP100011,Sku,2026-05-10 00:00,2026-05-11 00:00,0,189150,0,0,5850,0,0,3900
SP100012,Order,2026-05-05 00:00,2026-05-06 00:00,552000,552000,0,0,0,0,0,-
SP100013,Order,2026-05-06 00:00,2026-05-08 00:00,163560,167040,0,3480,0,0,0,-
SP100013,Sku,2026-05-06 00:00,2026-05-08 00:00,0,167040,0,3480,0,0,0,-
SP100014,Order,2026-05-08 00:00,2026-05-10 00:00,-11100,222000,222000,4440,0,2220,0,4440
SP100015,Order,2026-05-04 00:00,2026-05-08 00:00,197800,208550,0,4300,6450,2150,0,4300
SP100016,Order,2026-05-02 00:00,2026-05-05 00:00,136080,139680,0,0,4320,0,720,2880
SP100016,Sku,2026-05-02 00:00,2026-05-05 00:00,0,139680,0,0,4320,0,720,2880
SP100017,Order,2026-04-28 00:00,2026-05-02 00:00,724590,724590,0,0,22410,0,0,-
SP100018,Order,2026-05-02 00:00,2026-05-03 00:00,292500,300000,0,6000,0,0,1500,-
SP100019,Order,2026-05-06 00:00,2026-05-10 00:00,188370,192510,0,4140,6210,0,0,-
SP100019,Sku,2026-05-06 00:00,2026-05-10 00:00,0,192510,0,4140,6210,0,0,-
SP100020,Order,2026-04-28 00:00,2026-04-29 00:00,96305,99910,0,2060,3090,1030,515,-
SP100021,Order,2026-04-23 00:00,2026-04-25 00:00,353080,360840,0,7760,11640,0,0,-
SP100022,Order,2026-05-09 00:00,2026-05-11 00:00,764400,780000,0,0,0,0,0,15600
SP100023,Order,2026-05-07 00:00,2026-05-08 00:00,244800,244800,0,0,0,0,0,-
SP100024,Order,2026-04-30 00:00,2026-05-04 00:00,190120,194000,0,3880,0,0,0,-
SP100024,Sku,2026-04-30 00:00,2026-05-04 00:00,0,194000,0,3880,0,0,0,-
SP100025,Order,2026-05-01 00:00,2026-05-03 00:00,790965,811890,0,0,25110,0,4185,16740
SP100025,Sku,2026-05-01 00:00,2026-05-03 00:00,0,811890,0,0,25110,0,4185,16740
SP100026,Order,2026-05-03 00:00,2026-05-07 00:00,203775,209000,0,0,0,0,1045,4180
SP100027,Order,2026-05-08 00:00,2026-05-09 00:00,482500,485000,0,0,15000,0,2500,-
SP100028,Order,2026-05-02 00:00,2026-05-05 00:00,47280,48000,0,0,0,480,240,-
SP100029,Order,2026-05-03 00:00,2026-05-05 00:00,53650,53940,0,0,1740,0,290,-
SP100029,Sku,2026-05-03 00:00,2026-05-05 00:00,0,53940,0,0,1740,0,290,-
SP100030,Order,2026-05-02 00:00,2026-05-03 00:00,449820,461720,0,9520,14280,0,2380,-
SP100031,Order,2026-05-05 00:00,2026-05-09 00:00,246380,246380,0,0,7620,0,0,-
