Mã đơn hàng,SKU phân loại hàng,Tên sản phẩm,Số lượng,Giá gốc,Ngày đặt hàng,Trạng Thái Đơn Hàng,Người bán trợ giá,Được Shopee trợ giá
SP000001,DEMO-SKU-001,Demo product 1,3,100000,2026-04-28 00:00,Hoàn thành,0,0
SP000002,DEMO-SKU-002,Demo product 2,3,182000,2026-05-03 00:00,Hoàn thành,21840,0
SP000003,DEMO-SKU-003,Demo product 3,3,249000,2026-05-04 00:00,Hoàn thành,29880,0
SP000004,DEMO-SKU-004,Demo product 4,1,57000,2026-05-08 00:00,Hoàn thành,0,1710
SP000005,DEMO-SKU-005,Demo product 5,3,144000,2026-05-03 00:00,Hoàn thành,17280,0
SP000006,DEMO-SKU-006,Demo product 6,1,206000,2026-05-03 00:00,Hoàn thành,0,6180
SP000007,DEMO-SKU-007,Demo product 7,3,133000,2026-05-04 00:00,Hoàn thành,0,11970
SP000008,DEMO-SKU-008,Demo product 8,2,49000,2026-04-26 00:00,Hoàn thành,0,0
SP000009,DEMO-SKU-009,Demo product 9,3,230000,2026-05-08 00:00,Hoàn thành,0,0
SP000010,DEMO-SKU-010,Demo product 10,2,71000,2026-05-04 00:00,Hoàn thành,0,4260
SP000011,DEMO-SKU-011,Demo product 11,1,54000,2026-05-01 00:00,Hoàn thành,0,1620
SP000012,DEMO-SKU-000,Demo product 0,3,289000,2026-05-06 00:00,Hoàn thành,34680,0
SP000013,DEMO-SKU-001,Demo product 1,1,286000,2026-05-02 00:00,Hoàn thành,0,0
SP000014,DEMO-SKU-002,Demo product 2,3,75000,2026-05-05 00:00,Hoàn thành,0,0
SP000015,DEMO-SKU-003,Demo product 3,3,202000,2026-05-07 00:00,Hoàn thành,0,18180
SP000016,DEMO-SKU-004,Demo product 4,3,240000,2026-05-02 00:00,Hoàn thành,0,21600
SP000017,DEMO-SKU-005,Demo product 5,2,299000,2026-04-21 00:00,Hoàn thành,0,0
SP000018,DEMO-SKU-006,Demo product 6,3,69000,2026-05-06 00:00,Hoàn thành,0,0
SP000019,DEMO-SKU-007,Demo product 7,2,126000,2026-05-02 00:00,Hoàn thành,10080,0
SP000020,DEMO-SKU-008,Demo product 8,3,84000,2026-04-29 00:00,Hoàn thành,0,0
SP000021,DEMO-SKU-009,Demo product 9,3,144000,2026-05-06 00:00,Hoàn thành,0,12960
SP000022,DEMO-SKU-010,Demo product 10,2,163000,2026-05-04 00:00,Hoàn thành,13040,9780
SP000023,DEMO-SKU-011,Demo product 11,2,100000,2026-04-30 00:00,Hoàn thành,8000,6000
SP000024,DEMO-SKU-000,Demo product 0,3,207000,2026-05-04 00:00,Hoàn thành,24840,0
SP000025,DEMO-SKU-001,Demo product 1,1,99000,2026-05-04 00:00,Hoàn thành,0,0
SP000026,DEMO-SKU-002,Demo product 2,1,273000,2026-05-03 00:00,Hoàn thành,10920,0
SP000027,DEMO-SKU-003,Demo product 3,1,132000,2026-05-10 00:00,Hoàn thành,0,3960
SP000028,DEMO-SKU-004,Demo product 4,3,152000,2026-05-05 00:00,Hoàn thành,0,13680
SP000029,DEMO-SKU-005,Demo product 5,1,290000,2026-04-28 00:00,Hoàn thành,0,8700
SP000030,DEMO-SKU-006,Demo product 6,3,288000,2026-05-07 00:00,Hoàn thành,0,0
SP000031,DEMO-SKU-007,Demo product 7,1,252000,2026-05-06 00:00,Hoàn thành,0,0
SP000032,DEMO-SKU-008,Demo product 8,3,157000,2026-05-01 00:00,Hoàn thành,18840,0
SP000033,DEMO-SKU-009,Demo product 9,2,276000,2026-05-05 00:00,Hoàn thành,22080,0
SP000034,DEMO-SKU-010,Demo product 10,3,135000,2026-05-07 00:00,Hoàn thành,0,0
SP000035,DEMO-SKU-011,Demo product 11,2,133000,2026-05-05 00:00,Hoàn thành,10640,0
SP000036,DEMO-SKU-000,Demo product 0,3,284000,2026-04-30 00:00,Hoàn thành,34080,25560
SP000037,DEMO-SKU-001,Demo product 1,3,46000,2026-05-08 00:00,Hoàn thành,0,0
SP000038,DEMO-SKU-002,Demo product 2,3,258000,2026-05-03 00:00,Hoàn thành,30960,0
SP000039,DEMO-SKU-003,Demo product 3,2,117000,2026-05-04 00:00,Hoàn thành,0,0
SP000040,DEMO-SKU-004,Demo product 4,3,100000,2026-05-06 00:00,Hoàn thành,0,9000
SP000041,DEMO-SKU-005,Demo product 5,1,55000,2026-05-01 00:00,Hoàn thành,0,1650
SP000042,DEMO-SKU-006,Demo product 6,2,57000,2026-04-23 00:00,Hoàn thành,0,0
SP000043,DEMO-SKU-007,Demo product 7,2,241000,2026-05-04 00:00,Hoàn thành,0,0
SP000044,DEMO-SKU-008,Demo product 8,1,298000,2026-05-08 00:00,Hoàn thành,0,8940
SP000045,DEMO-SKU-009,Demo product 9,3,290000,2026-05-03 00:00,Hoàn thành,0,26100
SP000046,DEMO-SKU-010,Demo product 10,3,199000,2026-04-29 00:00,Hoàn thành,0,17910
SP000047,DEMO-SKU-011,Demo product 11,1,73000,2026-05-05 00:00,Hoàn thành,2920,2190
SP000048,DEMO-SKU-000,Demo product 0,3,53000,2026-05-02 00:00,Hoàn thành,0,0
SP000049,DEMO-SKU-001,Demo product 1,1,136000,2026-05-02 00:00,Hoàn thành,0,4080
SP000050,DEMO-SKU-002,Demo product 2,2,74000,2026-05-05 00:00,Hoàn thành,0,4440
SP000051,DEMO-SKU-003,Demo product 3,3,187000,2026-05-01 00:00,Hoàn thành,0,0
SP000052,DEMO-SKU-004,Demo product 4,3,84000,2026-05-05 00:00,Hoàn thành,10080,0
SP000053,DEMO-SKU-005,Demo product 5,1,234000,2026-05-01 00:00,Hoàn thành,0,0
SP000054,DEMO-SKU-006,Demo product 6,2,206000,2026-04-30 00:00,Hoàn thành,16480,0
SP000055,DEMO-SKU-007,Demo product 7,2,184000,2026-05-05 00:00,Hoàn thành,0,0
SP000056,DEMO-SKU-008,Demo product 8,3,267000,2026-05-02 00:00,Hoàn thành,0,24030
SP000057,DEMO-SKU-009,Demo product 9,2,61000,2026-05-05 00:00,Hoàn thành,4880,3660
SP000058,DEMO-SKU-010,Demo product 10,2,64000,2026-05-05 00:00,Hoàn thành,5120,0
SP000059,DEMO-SKU-011,Demo product 11,1,178000,2026-04-29 00:00,Hoàn thành,7120,5340
SP000060,DEMO-SKU-000,Demo product 0,2,133000,2026-04-23 00:00,Hoàn thành,0,0
