Mã đơn hàng,SKU phân loại hàng,Tên sản phẩm,Số lượng,Giá gốc,Ngày đặt hàng,Trạng Thái Đơn Hàng,Người bán trợ giá,Được Shopee trợ giá
SP100001,DEMO-SKU-001,Demo product 1,2,218000,2026-04-23 00:00,Hoàn thành,17440,0
SP100002,DEMO-SKU-002,Demo product 2,3,67000,2026-05-02 00:00,Hoàn thành,8040,0
SP100003,DEMO-SKU-003,Demo product 3,2,274000,2026-05-01 00:00,Hoàn thành,21920,0
SP100004,DEMO-SKU-004,Demo product 4,3,206000,2026-05-01 00:00,Hoàn thành,0,0
SP100005,DEMO-SKU-005,Demo product 5,1,203000,2026-04-30 00:00,Hoàn thành,0,0
SP100006,DEMO-SKU-006,Demo product 6,2,113000,2026-05-02 00:00,Hoàn thành,0,6780
SP100007,DEMO-SKU-007,Demo product 7,2,53000,2026-04-21 00:00,Hoàn thành,4240,0
SP100008,DEMO-SKU-008,Demo product 8,3,265000,2026-05-08 00:00,Hoàn thành,0,0
SP100009,DEMO-SKU-009,Demo product 9,3,212000,2026-05-01 00:00,Hoàn thành,0,0
SP100010,DEMO-SKU-010,Demo product 10,1,77000,2026-05-08 00:00,Hoàn thành,0,2310
SP100011,DEMO-SKU-011,Demo product 11,3,65000,2026-05-10 00:00,Hoàn thành,0,5850
SP100012,DEMO-SKU-000,Demo product 0,2,276000,2026-05-05 00:00,Hoàn thành,0,0
SP100013,DEMO-SKU-001,Demo product 1,2,87000,2026-05-06 00:00,Hoàn thành,6960,0
SP100014,DEMO-SKU-002,Demo product 2,2,111000,2026-05-08 00:00,Hoàn thành,0,0
SP100015,DEMO-SKU-003,Demo product 3,1,215000,2026-05-04 00:00,Hoàn thành,0,6450
SP100016,DEMO-SKU-004,Demo product 4,2,72000,2026-05-02 00:00,Hoàn thành,0,4320
SP100017,DEMO-SKU-005,Demo product 5,3,249000,2026-04-28 00:00,Hoàn thành,0,22410
SP100018,DEMO-SKU-006,Demo product 6,3,100000,2026-05-02 00:00,Hoàn thành,0,0
SP100019,DEMO-SKU-007,Demo product 7,1,207000,2026-05-06 00:00,Hoàn thành,8280,6210
SP100020,DEMO-SKU-008,Demo product 8,1,103000,2026-04-28 00:00,Hoàn thành,0,3090
SP100021,DEMO-SKU-009,Demo product 9,2,194000,2026-04-23 00:00,Hoàn thành,15520,11640
SP100022,DEMO-SKU-010,Demo product 10,3,260000,2026-05-09 00:00,Hoàn thành,0,0
SP100023,DEMO-SKU-011,Demo product 11,1,255000,2026-05-07 00:00,Hoàn thành,10200,0
SP100024,DEMO-SKU-000,Demo product 0,1,194000,2026-04-30 00:00,Hoàn thành,0,0
SP100025,DEMO-SKU-001,Demo product 1,3,279000,2026-05-01 00:00,Hoàn thành,0,25110
SP100026,DEMO-SKU-002,Demo product 2,1,209000,2026-05-03 00:00,Hoàn thành,0,0
SP100027,DEMO-SKU-003,Demo product 3,2,250000,2026-05-08 00:00,Hoàn thành,0,15000
SP100028,DEMO-SKU-004,Demo product 4,1,48000,2026-05-02 00:00,Hoàn thành,0,0
SP100029,DEMO-SKU-005,Demo product 5,1,58000,2026-05-03 00:00,Hoàn thành,2320,1740
SP100030,DEMO-SKU-006,Demo product 6,2,238000,2026-05-02 00:00,Hoàn thành,0,14280
SP100031,DEMO-SKU-007,Demo product 7,2,127000,2026-05-05 00:00,Hoàn thành,0,7620
SP100032,DEMO-SKU-008,Demo product 8,3,215000,2026-04-29 00:00,Hoàn thành,0,19350
SP100033,DEMO-SKU-009,Demo product 9,3,152000,2026-05-05 00:00,Hoàn thành,18240,0
SP100034,DEMO-SKU-010,Demo product 10,2,260000,2026-04-25 00:00,Hoàn thành,20800,15600
SP100035,DEMO-SKU-011,Demo product 11,3,199000,2026-04-27 00:00,Hoàn thành,0,0
SP100036,DEMO-SKU-000,Demo product 0,3,182000,2026-05-02 00:00,Hoàn thành,21840,16380
SP100037,DEMO-SKU-001,Demo product 1,3,105000,2026-05-02 00:00,Hoàn thành,0,9450
SP100038,DEMO-SKU-002,Demo product 2,1,144000,2026-05-07 00:00,Hoàn thành,5760,4320
SP100039,DEMO-SKU-003,Demo product 3,2,69000,2026-05-02 00:00,Hoàn thành,5520,0
SP100040,DEMO-SKU-004,Demo product 4,1,44000,2026-05-04 00:00,Hoàn thành,0,0
SP100041,DEMO-SKU-005,Demo product 5,2,52000,2026-05-02 00:00,Hoàn thành,4160,3120
SP100042,DEMO-SKU-006,Demo product 6,2,144000,2026-04-22 00:00,Hoàn thành,0,8640
SP100043,DEMO-SKU-007,Demo product 7,2,176000,2026-05-03 00:00,Hoàn thành,14080,0
SP100044,DEMO-SKU-008,Demo product 8,3,210000,2026-05-07 00:00,Hoàn thành,0,0
SP100045,DEMO-SKU-009,Demo product 9,3,65000,2026-04-23 00:00,Hoàn thành,0,5850
SP100046,DEMO-SKU-010,Demo product 10,2,264000,2026-04-27 00:00,Hoàn thành,21120,15840
SP100047,DEMO-SKU-011,Demo product 11,3,172000,2026-04-30 00:00,Hoàn thành,0,15480
SP100048,DEMO-SKU-000,Demo product 0,2,136000,2026-05-07 00:00,Hoàn thành,0,0
SP100049,DEMO-SKU-001,Demo product 1,3,75000,2026-04-28 00:00,Hoàn thành,0,6750
SP100050,DEMO-SKU-002,Demo product 2,2,227000,2026-05-04 00:00,Hoàn thành,0,13620
