Order/adjustment ID,Type,Order created time,Order settled time,Total Revenue,Total settlement amount,Customer refund,Subtotal after seller discounts,Subtotal before discounts,Refund subtotal after seller discounts,Refund subtotal before seller discounts
TT000001,Order,2026/05/02 00:00:00,2026/05/03 00:00:00,818500,720280,0,818500,818500,0,0
TT000002,Order,2026/05/07 00:00:00,2026/05/11 00:00:00,150950,132836,0,150950,150950,0,0
TT000003,Order,2026/04/21 00:00:00,2026/04/22 00:00:00,0,0,0,498000,498000,-498000,-498000
TT000004,Order,2026/05/11 00:00:00,2026/05/15 00:00:00,574200,505296,0,574200,574200,0,0
TT000005,Order,2026/05/02 00:00:00,2026/05/06 00:00:00,902300,794024,0,902300,902300,0,0
TT000006,Order,2026/05/08 00:00:00,2026/05/10 00:00:00,1592600,1401488,0,1592600,1592600,0,0
TT000007,Order,2026/05/03 00:00:00,2026/05/08 00:00:00,828900,729432,0,828900,828900,0,0
TT000008,Order,2026/04/18 00:00:00,2026/04/21 00:00:00,1464600,1288848,0,1464600,1464600,0,0
TT000009,Order,2026/05/12 00:00:00,2026/05/14 00:00:00,1234650,1086492,0,1234650,1234650,0,0
TT000010,Order,2026/05/13 00:00:00,2026/05/14 00:00:00,958000,843040,0,958000,958000,0,0
TT000011,Order,2026/05/06 00:00:00,2026/05/11 00:00:00,631600,555808,0,631600,631600,0,0
TT000012,Order,2026/05/09 00:00:00,2026/05/10 00:00:00,861300,757944,0,861300,861300,0,0
TT000013,Order,2026/05/07 00:00:00,2026/05/12 00:00:00,884400,778272,0,884400,884400,0,0
TT000014,Order,2026/05/10 00:00:00,2026/05/12 00:00:00,1232400,1084512,0,1232400,1232400,0,0
TT000015,Order,2026/05/09 00:00:00,2026/05/10 00:00:00,482000,424160,0,482000,482000,0,0
TT000016,Order,2026/05/10 00:00:00,2026/05/11 00:00:00,0,0,0,952800,0,0,0
TT000017,Order,2026/05/01 00:00:00,2026/05/04 00:00:00,890300,783464,0,890300,890300,0,0
TT000018,Order,2026/05/04 00:00:00,2026/05/08 00:00:00,1807900,1590952,0,1807900,1807900,0,0
TT000019,Order,2026/05/08 00:00:00,2026/05/13 00:00:00,937350,824868,0,937350,937350,0,0
TT000020,Order,2026/04/22 00:00:00,2026/04/23 00:00:00,0,0,0,294300,0,0,0
TT000021,Order,2026/05/06 00:00:00,2026/05/09 00:00:00,1020000,897600,0,1020000,1020000,0,0
TT000022,Order,2026/05/01 00:00:00,2026/05/03 00:00:00,333000,293040,0,333000,333000,0,0
TT000023,Order,2026/04/29 00:00:00,2026/05/04 00:00:00,808750,711700,0,808750,808750,0,0
TT000024,Order,2026/05/02 00:00:00,2026/05/03 00:00:00,538650,474012,0,538650,538650,0,0
TT000025,Order,2026/04/20 00:00:00,2026/04/23 00:00:00,0,0,0,539600,539600,-539600,-539600
TT000026,Order,2026/05/09 00:00:00,2026/05/12 00:00:00,968800,852544,0,968800,968800,0,0
TT000027,Order,2026/05/12 00:00:00,2026/05/14 00:00:00,1065500,937640,0,1065500,1065500,0,0
TT000028,Order,2026/05/06 00:00:00,2026/05/07 00:00:00,1338300,1177704,0,1338300,1338300,0,0
TT000029,Order,2026/05/11 00:00:00,2026/05/16 00:00:00,0,0,0,751700,751700,-751700,-751700
TT000030,Order,2026/04/23 00:00:00,2026/04/26 00:00:00,117800,103664,0,117800,117800,0,0
TT000031,Order,2026/05/12 00:00:00,2026/05/14 00:00:00,253000,222640,0,253000,253000,0,0
TT000032,Order,2026/05/09 00:00:00,2026/05/11 00:00:00,1691400,1488432,0,1691400,1691400,0,0
TT000033,Order,2026/05/10 00:00:00,2026/05/11 00:00:00,1598000,1406240,0,1598000,1598000,0,0
TT000034,Order,2026/05/05 00:00:00,2026/05/06 00:00:00,1120400,985952,0,1120400,1120400,0,0
TT000035,Order,2026/05/10 00:00:00,2026/05/11 00:00:00,1254600,1104048,0,1254600,1254600,0,0
TT000036,Order,2026/05/05 00:00:00,2026/05/10 00:00:00,339400,298672,0,339400,339400,0,0
TT000037,Order,2026/05/07 00:00:00,2026/05/12 00:00:00,1516900,1334872,0,1516900,1516900,0,0
TT000038,Order,2026/05/07 00:00:00,2026/05/11 00:00:00,95000,83600,0,95000,95000,0,0
TT000039,Order,2026/05/07 00:00:00,2026/05/12 00:00:00,176400,155232,0,176400,176400,0,0
