Order/adjustment ID,Type,Order created time,Order settled time,Total Revenue,Total settlement amount,Customer refund,Subtotal after seller discounts,Subtotal before discounts,Refund subtotal after seller discounts,Refund subtotal before seller discounts
TT100001,Order,2026/04/19 00:00:00,2026/04/20 00:00:00,1470300,1293864,0,1470300,1470300,0,0
TT100002,Order,2026/04/27 00:00:00,2026/05/02 00:00:00,582250,512380,0,582250,582250,0,0
TT100003,Order,2026/04/28 00:00:00,2026/05/02 00:00:00,1182900,1040952,0,1182900,1182900,0,0
TT100004,Order,2026/05/01 00:00:00,2026/05/03 00:00:00,856700,753896,0,856700,856700,0,0
TT100005,Order,2026/05/01 00:00:00,2026/05/03 00:00:00,1815400,1597552,0,1815400,1815400,0,0
TT100006,Order,2026/05/05 00:00:00,2026/05/06 00:00:00,210000,184800,0,210000,210000,0,0
TT100007,Order,2026/05/09 00:00:00,2026/05/10 00:00:00,638300,561704,0,638300,638300,0,0
TT100008,Order,2026/04/23 00:00:00,2026/04/25 00:00:00,1301350,1145188,0,1301350,1301350,0,0
TT100009,Order,2026/04/29 00:00:00,2026/04/30 00:00:00,275400,242352,0,275400,275400,0,0
TT100010,Order,2026/04/26 00:00:00,2026/04/30 00:00:00,1846000,1624480,0,1846000,1846000,0,0
TT100011,Order,2026/04/29 00:00:00,2026/05/04 00:00:00,606700,533896,0,606700,606700,0,0
TT100012,Order,2026/05/01 00:00:00,2026/05/05 00:00:00,1168950,1028676,0,1168950,1168950,0,0
TT100013,Order,2026/05/15 00:00:00,2026/05/17 00:00:00,195000,171600,0,195000,195000,0,0
TT100014,Order,2026/05/14 00:00:00,2026/05/16 00:00:00,150100,132088,0,150100,150100,0,0
TT100015,Order,2026/05/06 00:00:00,2026/05/10 00:00:00,711000,625680,0,711000,711000,0,0
TT100016,Order,2026/05/13 00:00:00,2026/05/14 00:00:00,1281400,1127632,0,1281400,1281400,0,0
TT100017,Order,2026/05/12 00:00:00,2026/05/14 00:00:00,504000,443520,0,504000,504000,0,0
TT100018,Order,2026/05/02 00:00:00,2026/05/06 00:00:00,829800,730224,0,829800,829800,0,0
TT100019,Order,2026/05/05 00:00:00,2026/05/10 00:00:00,1932150,1700292,0,1932150,1932150,0,0
TT100020,Order,2026/05/01 00:00:00,2026/05/06 00:00:00,635000,558800,0,635000,635000,0,0
TT100021,Order,2026/05/13 00:00:00,2026/05/14 00:00:00,480900,423192,0,480900,480900,0,0
TT100022,Order,2026/05/14 00:00:00,2026/05/17 00:00:00,693300,610104,0,693300,693300,0,0
TT100023,Order,2026/04/29 00:00:00,2026/05/02 00:00:00,228000,200640,0,228000,228000,0,0
TT100024,Order,2026/04/21 00:00:00,2026/04/23 00:00:00,0,0,0,288900,0,0,0
TT100025,Order,2026/05/03 00:00:00,2026/05/06 00:00:00,1625300,1430264,0,1625300,1625300,0,0
TT100026,Order,2026/05/15 00:00:00,2026/05/17 00:00:00,421200,370656,0,421200,421200,0,0
TT100027,Order,2026/05/12 00:00:00,2026/05/13 00:00:00,1529500,1345960,0,1529500,1529500,0,0
TT100028,Order,2026/05/16 00:00:00,2026/05/17 00:00:00,627000,551760,0,627000,627000,0,0
TT100029,Order,2026/05/11 00:00:00,2026/05/12 00:00:00,171000,150480,0,171000,171000,0,0
TT100030,Order,2026/05/06 00:00:00,2026/05/08 00:00:00,534000,469920,0,534000,534000,0,0
TT100031,Order,2026/04/28 00:00:00,2026/05/02 00:00:00,286900,252472,0,286900,286900,0,0
TT100032,Order,2026/05/13 00:00:00,2026/05/17 00:00:00,894000,786720,0,894000,894000,0,0
TT100033,Order,2026/05/13 00:00:00,2026/05/15 00:00:00,783000,689040,0,783000,783000,0,0
TT100034,Order,2026/05/04 00:00:00,2026/05/05 00:00:00,815100,717288,0,815100,815100,0,0
TT100035,Order,2026/05/05 00:00:00,2026/05/08 00:00:00,616000,542080,0,616000,616000,0,0
TT100036,Order,2026/04/22 00:00:00,2026/04/26 00:00:00,2035000,1790800,0,2035000,2035000,0,0
TT100037,Order,2026/05/11 00:00:00,2026/05/12 00:00:00,1497200,1317536,0,1497200,1497200,0,0
TT100038,Order,2026/04/28 00:00:00,2026/05/02 00:00:00,678000,596640,0,678000,678000,0,0
TT100039,Order,2026/05/12 00:00:00,2026/05/14 00:00:00,327750,288420,0,327750,327750,0,0
TT100040,Order,2026/05/15 00:00:00,2026/05/16 00:00:00,442700,389576,0,442700,442700,0,0
TT100041,Order,2026/04/20 00:00:00,2026/04/21 00:00:00,252900,222552,0,252900,252900,0,0
TT100042,Order,2026/05/09 00:00:00,2026/05/11 00:00:00,229000,201520,0,229000,229000,0,0
TT100043,Order,2026/04/28 00:00:00,2026/04/30 00:00:00,723600,636768,0,723600,723600,0,0
TT100044,Order,2026/05/03 00:00:00,2026/05/08 00:00:00,502200,441936,0,502200,502200,0,0
TT100045,Order,2026/05/10 00:00:00,2026/05/15 00:00:00,1567950,1379796,0,1567950,1567950,0,0
TT100046,Order,2026/04/29 00:00:00,2026/05/04 00:00:00,1201350,1057188,0,1201350,1201350,0,0
TT100047,Order,2026/05/01 00:00:00,2026/05/06 00:00:00,340000,299200,0,340000,340000,0,0
TT100048,Order,2026/05/06 00:00:00,2026/05/09 00:00:00,53100,46728,0,53100,53100,0,0
TT100049,Order,2026/04/28 00:00:00,2026/05/03 00:00:00,492850,433708,0,492850,492850,0,0
TT100050,Order,2026/04/30 00:00:00,2026/05/05 00:00:00,961200,845856,0,961200,961200,0,0
TT100051,Order,2026/05/12 00:00:00,2026/05/14 00:00:00,1554300,1367784,0,1554300,1554300,0,0
TT100052,Order,2026/05/01 00:00:00,2026/05/05 00:00:00,776000,682880,0,776000,776000,0,0
TT100053,Order,2026/04/28 00:00:00,2026/05/03 00:00:00,1452200,1277936,0,1452200,1452200,0,0
TT100054,Order,2026/05/02 00:00:00,2026/05/03 00:00:00,521000,458480,0,521000,521000,0,0
TT100055,Order,2026/05/12 00:00:00,2026/05/14 00:00:00,907600,798688,0,907600,907600,0,0
TT100056,Order,2026/05/11 00:00:00,2026/05/14 00:00:00,981750,863940,0,981750,981750,0,0
TT100057,Order,2026/05/09 00:00:00,2026/05/14 00:00:00,1000850,880748,0,1000850,1000850,0,0
TT100058,Order,2026/04/25 00:00:00,2026/04/26 00:00:00,188100,165528,0,188100,188100,0,0
TT100059,Order,2026/05/12 00:00:00,2026/05/17 00:00:00,864000,760320,0,864000,864000,0,0
TT100060,Order,2026/05/09 00:00:00,2026/05/13 00:00:00,522000,459360,0,522000,522000,0,0
